,Código,Cod,Nome Comercial,Div. Yeld,P/VP
108,BGIP4,"""BGIP4"",",BANESE,"5,1%","0,67"
109,BHGR3,"""BHGR3"",",BHG,"0,0%","1,10"
110,BICB3,"""BICB3"",",BicBanco,"0,0%","2,14"
111,BICB4,"""BICB4"",",BicBanco,"0,0%","2,21"
112,BIDI11,"""BIDI11"",",BANCO INTER,"0,2%","2,56"
113,BIDI3,"""BIDI3"",",BANCO INTER,"0,2%","2,57"
114,BIDI4,"""BIDI4"",",BANCO INTER,"0,2%","2,58"
115,BIOM3,"""BIOM3"",",BIOMM SA,"0,0%","7,27"
116,BIOM4,"""BIOM4"",",BIOMM SA,"0,0%","4,49"
117,BISA3,"""BISA3"",",BROOKFIELD INCORPORACOES,"0,0%","1,18"
118,BKBR3,"""BKBR3"",",BK BRASIL,"0,0%","1,14"
119,BLAU3,"""BLAU3"",",BLAU,"0,7%","3,86"
120,BLUT3,"""BLUT3"",",B TECH EQI,"0,0%","0,59"
121,BLUT4,"""BLUT4"",",B TECH EQI,"0,0%","0,33"
122,BMEB3,"""BMEB3"",",BANCO MERCANTIL DO BRASIL S/A,"5,0%","1,11"
123,BMEB4,"""BMEB4"",",BANCO MERCANTIL DO BRASIL S/A,"5,7%","1,07"
124,BMEF3,"""BMEF3"",",BMF,"0,0%","4,16"
125,BMGB11,"""BMGB11"",",BANCO BMG,"0,0%","1,25"
126,BMGB4,"""BMGB4"",",BANCO BMG,"10,0","0,47"
127,BMIN3,"""BMIN3"",",BANCO MERCANTIL DE INVESTIMENTOS SA,"0,0%","0,76"
128,BMIN4,"""BMIN4"",",BANCO MERCANTIL DE INVESTIMENTOS SA,"10,4","0,71"
129,BMKS3,"""BMKS3"",",MONARK,"3,2%","0,59"
130,BMOB3,"""BMOB3"",",BEMOBI TECH,"0,0%","1,33"
131,BMTO3,"""BMTO3"",",BRASMOTOR S.A,"0,0%","2,14"
132,BMTO4,"""BMTO4"",",BRASMOTOR S.A,"0,0%","2,07"
133,BNBR3,"""BNBR3"",",BANCO DO NORDESTE,"7,0%","0,82"
134,BNBR4,"""BNBR4"",",BANCO DO NORDESTE,"0,0%","0,33"
135,BNCA3,"""BNCA3"",",NOSSA CAIXA-NOSSO BANCO,"0,0%","2,45"
136,BOAS3,"""BOAS3"",",BOA VISTA,"1,5%","1,52"
137,BOBR3,"""BOBR3"",",BOMBRIL SA,"0,0%","-2,2"
138,BOBR4,"""BOBR4"",",BOMBRIL SA,"0,0%","-3,5"
139,BOVH3,"""BOVH3"",",Bovespa Hld,"0,0%","6,16"
140,BPAC11,"""BPAC11"",",BTGP BANCO,"1,6%","2,49"
141,BPAC3,"""BPAC3"",",BTGP BANCO,"0,9%","4,45"
142,BPAC5,"""BPAC5"",",BTGP BANCO,"2,7%","1,50"
143,BPAN4,"""BPAN4"",",BANCO PAN,"2,3%","2,04"
144,BPAR3,"""BPAR3"",",BANPARÁ S.A.,"0,0%","1,06"
145,BPAT33,"""BPAT33"",",Patagonia,"35,7","0,82"
146,BPHA3,"""BPHA3"",",BRAZIL PHARMA S.A.,"0,0%","-0,2"
147,BPIA3,"""BPIA3"",",BEP,"0,0%","1,06"
148,BPNM3,"""BPNM3"",",BANCO PAN,"0,0%","0,00"
149,BRAP3,"""BRAP3"",",BRADESPAR S/A,"38,2","0,69"
150,BRAP4,"""BRAP4"",",BRADESPAR S/A,"37,9","0,76"
151,BRBI11,"""BRBI11"",",BR PARTNERS,"0,0%","2,43"
152,BRFS3,"""BRFS3"",",BRF Foods,"0,0%","2,13"
153,BRGE11,"""BRGE11"",",CONSORCIO ALFA,"5,0%","0,44"
154,BRGE12,"""BRGE12"",",CONSORCIO ALFA,"0,0%","0,41"
155,BRGE3,"""BRGE3"",",CONSORCIO ALFA,"0,0%","0,38"
156,BRGE5,"""BRGE5"",",CONSORCIO ALFA,"0,0%","0,61"
157,BRGE6,"""BRGE6"",",CONSORCIO ALFA,"8,4%","0,53"
158,BRGE7,"""BRGE7"",",CONSORCIO ALFA,"8,1%","0,32"
159,BRGE8,"""BRGE8"",",CONSORCIO ALFA,"3,3%","0,56"
160,BRIT3,"""BRIT3"",",BRISANET,"0,0%","1,50"
161,BRIV3,"""BRIV3"",",ALFA DE INVESTIMENTO,"0,2%","0,45"
162,BRIV4,"""BRIV4"",",ALFA DE INVESTIMENTO,"7,8%","0,43"
163,BRKM3,"""BRKM3"",",BRASKEM,"15,7","2,99"
164,BRKM5,"""BRKM5"",",BRASKEM,"14,8","3,19"
165,BRKM6,"""BRKM6"",",BRASKEM,"1,6%","2,42"
166,BRML3,"""BRML3"",",BR MALLS PARTICIPAÇÔES S/A,"0,0%","0,76"
167,BRPR3,"""BRPR3"",",BR PROPERTIES,"2,9%","0,47"
168,BRSR3,"""BRSR3"",",BANRISUL S/A,"8,3%","0,54"
169,BRSR4,"""BRSR4"",",BANRISUL S/A,"0,0%","0,01"
170,BRSR5,"""BRSR5"",",BANRISUL S/A,"6,7%","0,84"
171,BRSR6,"""BRSR6"",",BANRISUL S/A,"9,0%","0,50"
172,BRTP3,"""BRTP3"",",BRASIL TELECOM PARTICIPAÇÕES S.A.,"0,0%","2,45"
173,BRTP4,"""BRTP4"",",BRASIL TELECOM PARTICIPAÇÕES S.A.,"0,0%","1,43"
174,BSCT3,"""BSCT3"",",BESC S.A.,"0,0%","0,00"
175,BSCT5,"""BSCT5"",",BESC S.A.,"0,0%","2,76"
176,BSCT6,"""BSCT6"",",BESC S.A.,"0,0%","2,04"
177,BSEV3,"""BSEV3"",",BIOSEV,"0,0%","-10,"
178,BSGR3,"""BSGR3"",",AGF BRASIL SEGUROS,"0,0%","0,00"
179,BSLI3,"""BSLI3"",",BRB,"1,7%","4,67"
180,BSLI4,"""BSLI4"",",BRB,"1,8%","4,77"
181,BTTL3,"""BTTL3"",",EMBPAR S/A,"0,0%","7,92"
182,BUET3,"""BUET3"",",BUETTNER S/A - INDUSTRIA E COMERCIO,"0,0%","-0,9"
183,BUET4,"""BUET4"",",BUETTNER S/A - INDUSTRIA E COMERCIO,"0,0%","-0,7"
184,CAFE3,"""CAFE3"",",CAFE SOLUVEL BRASILIA S/A,"0,0%","-0,0"
185,CAFE4,"""CAFE4"",",CAFE SOLUVEL BRASILIA S/A,"0,0%","-0,0"
186,CALI3,"""CALI3"",",CAL S/A,"0,0%","5,09"
187,CALI4,"""CALI4"",",CAL S/A,"0,0%","2,59"
188,CAMB3,"""CAMB3"",",PENALTY,"0,0%","1,76"
189,CAMB4,"""CAMB4"",",PENALTY,"0,0%","2,49"
190,CAML3,"""CAML3"",",CAMIL,"2,7%","1,19"
191,CARD3,"""CARD3"",",CSU CARDSYST,"3,4%","1,89"
192,CASH3,"""CASH3"",",MELIUZ,"0,2%","3,21"
193,CASN3,"""CASN3"",",CASAN,"0,2%","8,54"
194,CBAV3,"""CBAV3"",",CBA,"0,0%","2,70"
195,CBEE3,"""CBEE3"",",AMPLA ENERG,"0,0%","1,06"
196,CBMA3,"""CBMA3"",",COBRASMA S/A,"0,0%","-0,0"
197,CBMA4,"""CBMA4"",",COBRASMA S/A,"0,0%","-0,0"
198,CCHI3,"""CCHI3"",",CHIARELLI,"0,0%","-0,0"
199,CCHI4,"""CCHI4"",",CHIARELLI,"0,0%","-0,0"
200,CCIM3,"""CCIM3"",",CC DES IMOB,"0,0%","0,94"
201,CCRO3,"""CCRO3"",",COMPANHIA DE CONCESSÕES RODOVIÁRIAS,"1,3%","3,02"
202,CCTU4,"""CCTU4"",",COMPANHIA BRASILEIRA DE CARTUCHOS - CBC,"0,0%","0,92"
203,CCXC3,"""CCXC3"",",CCX CARVAO,"0,0%","-0,0"
204,CEAB3,"""CEAB3"",",CEA MODAS,"0,0%","0,67"
205,CEBR3,"""CEBR3"",",CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,"122,","0,59"
206,CEBR5,"""CEBR5"",",CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,"126,","0,57"
207,CEBR6,"""CEBR6"",",CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA,"143,","0,55"
208,CEDO3,"""CEDO3"",",CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,"0,0%","0,51"
209,CEDO4,"""CEDO4"",",CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA,"0,0%","0,40"
210,CEEB3,"""CEEB3"",",COELBA,"18,1","1,39"
211,CEEB5,"""CEEB5"",",COELBA,"0,0%","1,61"
212,CEED3,"""CEED3"",",CEEE-D,"0,0%","-1,3"
213,CEED4,"""CEED4"",",CEEE-D,"0,0%","-1,2"
214,CEGR3,"""CEGR3"",",CEG,"2,0%","11,9"
215,CELM3,"""CELM3"",",CELM CIA EQUIP. DE LABORATORIOS MODERNOS,"0,0%","-0,1"
216,CEPE3,"""CEPE3"",",CELPE,"0,0%","5,05"
217,CEPE5,"""CEPE5"",",CELPE,"9,9%","0,99"
218,CEPE6,"""CEPE6"",",CELPE,"10,4","1,03"
219,CESP3,"""CESP3"",",CESP CIA ENERGETICA SAO PAULO,"12,6","1,02"
220,CESP4,"""CESP4"",",CESP CIA ENERGETICA SAO PAULO,"0,0%","0,00"
221,CESP5,"""CESP5"",",CESP CIA ENERGETICA SAO PAULO,"3,0%","1,14"
222,CESP6,"""CESP6"",",CESP CIA ENERGETICA SAO PAULO,"9,3%","1,02"
223,CFLU4,"""CFLU4"",",COCA COLA,"0,0%","0,00"
224,CGAS3,"""CGAS3"",",COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS,"9,3%","8,17"
225,CGAS5,"""CGAS5"",",COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS,"10,4","8,04"
226,CGOS3,"""CGOS3"",",CELG,"0,0%","1,89"
227,CGOS4,"""CGOS4"",",CELG,"0,0%","0,00"
228,CGRA3,"""CGRA3"",",GRAZZIOTIN,"3,5%","0,99"
229,CGRA4,"""CGRA4"",",GRAZZIOTIN,"3,5%","0,98"
230,CIEL3,"""CIEL3"",",CIELO,"7,3%","0,64"
231,CIQU3,"""CIQU3"",",CACIQUE,"0,0%","1,05"
232,CIQU4,"""CIQU4"",",CACIQUE,"0,0%","1,05"
233,CLAN3,"""CLAN3"",",CLARION,"0,0%","0,00"
234,CLAN4,"""CLAN4"",",CLARION,"0,0%","0,47"
235,CLSA3,"""CLSA3"",",CLEARSALE,"0,0%","2,73"
236,CLSC3,"""CLSC3"",",CELESC,"7,0%","0,97"
237,CLSC4,"""CLSC4"",",CELESC,"7,2%","1,03"
238,CLSC5,"""CLSC5"",",CELESC,"0,0%","0,61"
239,CLSC6,"""CLSC6"",",CELESC,"0,0%","0,00"
240,CMET4,"""CMET4"",",CAEMI,"0,0%","5,38"
241,CMIG3,"""CMIG3"",",CEMIG,"6,4%","1,52"
242,CMIG4,"""CMIG4"",",CEMIG,"9,0%","1,09"
243,CMIN3,"""CMIN3"",",CSNMINERACAO,"6,5%","2,82"
244,CMMA4,"""CMMA4"",",CMA PARTICIPACOES SA,"0,0%","0,00"
245,CNFB4,"""CNFB4"",",CONFAB,"0,0%","1,57"
246,COCE3,"""COCE3"",",CIA ENERG CEARA - COELCE,"6,1%","1,32"
247,COCE5,"""COCE5"",",CIA ENERG CEARA - COELCE,"6,6%","1,22"
248,COCE6,"""COCE6"",",CIA ENERG CEARA - COELCE,"0,0%","0,78"
249,COGN3,"""COGN3"",",COGNA,"0,0%","0,37"
250,CORR3,"""CORR3"",",CORREA RIBEIRO SA COM. IND.,"0,0%","-1,1"
251,CORR4,"""CORR4"",",CORREA RIBEIRO SA COM. IND.,"0,0%","-7,9"
252,CPFE3,"""CPFE3"",",CPFL ENERGIA S.A.,"13,0","2,22"
253,CPFG3,"""CPFG3"",",CPFL GERAÇÂO DE ENERGIA S/A,"0,0%","0,42"
254,CPFG4,"""CPFG4"",",CPFL GERAÇÂO DE ENERGIA S/A,"0,0%","0,41"
255,CPFP4,"""CPFP4"",",CPFL - PIRATININGA,"0,0%","4,40"
256,CPLE11,"""CPLE11"",",COPEL,"0,0%","0,89"
257,CPLE3,"""CPLE3"",",COPEL,"18,2","0,83"
258,CPLE5,"""CPLE5"",",COPEL,"4,4%","3,93"
259,CPLE6,"""CPLE6"",",COPEL,"18,4","0,90"
260,CPNY3,"""CPNY3"",",COMPANY S/A,"0,0%","0,42"
261,CPRE3,"""CPRE3"",",CPFL RENOVAV,"0,0%","1,77"
262,CPSL3,"""CPSL3"",",COPESUL,"0,0%","3,49"
263,CRBM3,"""CRBM3"",",CARAÍBA METAIS S.A,"0,0%","3,26"
264,CRBM7,"""CRBM7"",",CARAÍBA METAIS S.A,"0,0%","2,18"
265,CRDE3,"""CRDE3"",",CR2,"0,0%","0,40"
266,CREM3,"""CREM3"",",CREMER S.A.,"0,0%","2,45"
267,CREM4,"""CREM4"",",CREMER S.A.,"0,0%","0,01"
268,CRFB3,"""CRFB3"",",CARREFOUR BR,"5,5%","1,94"
269,CRIV3,"""CRIV3"",",ALFA FINANCEIRA,"0,5%","0,52"
270,CRIV4,"""CRIV4"",",ALFA FINANCEIRA,"7,9%","0,57"
271,CRPG3,"""CRPG3"",",CRISTAL,"0,0%","2,53"
272,CRPG5,"""CRPG5"",",CRISTAL,"8,2%","2,05"
273,CRPG6,"""CRPG6"",",CRISTAL,"8,0%","2,10"
274,CRTP3,"""CRTP3"",",CELULAR CRT PARTICIPAÇÕES S/A,"0,0%","2,38"
275,CRTP5,"""CRTP5"",",CELULAR CRT PARTICIPAÇÕES S/A,"0,0%","1,71"
276,CRUZ3,"""CRUZ3"",",SOUZA CRUZ,"0,0%","22,4"
277,CSAB3,"""CSAB3"",",COMPANHIA DE SEGUROS ALIANÇA DA BAHIA,"2,9%","2,76"
278,CSAB4,"""CSAB4"",",COMPANHIA DE SEGUROS ALIANÇA DA BAHIA,"4,1%","2,12"
279,CSAN3,"""CSAN3"",",COSAN SA INDUSTRIA E COMERCIO,"2,7%","3,13"
280,CSED3,"""CSED3"",",CRUZEIRO EDU,"2,4%","1,66"
281,CSMG3,"""CSMG3"",",COPASA MG,"7,2%","0,75"
282,CSNA3,"""CSNA3"",",CSN,"7,8%","1,85"
283,CSPC3,"""CSPC3"",",COSIPA,"0,0%","0,00"
284,CSPC4,"""CSPC4"",",COSIPA,"0,0%","0,00"
285,CSRN3,"""CSRN3"",",COSERN,"13,5","1,72"
286,CSRN5,"""CSRN5"",",COSERN,"14,8","1,73"
287,CSRN6,"""CSRN6"",",COSERN,"14,0","1,82"
288,CSTB3,"""CSTB3"",",COMPANHIA SIDERÚRGICA DE TUBARÃO,"0,0%","0,00"
289,CSTB4,"""CSTB4"",",COMPANHIA SIDERÚRGICA DE TUBARÃO,"0,0%","0,00"
290,CTIP3,"""CTIP3"",",CETIP,"0,0%","8,76"
291,CTKA3,"""CTKA3"",",KARSTEN,"0,0%","-1,1"
292,CTKA4,"""CTKA4"",",KARSTEN,"0,0%","-0,4"
293,CTNM3,"""CTNM3"",",COTEMINAS,"0,0%","0,32"
294,CTNM4,"""CTNM4"",",COTEMINAS,"0,0%","0,14"
295,CTPC3,"""CTPC3"",",CTM CITRUS SA,"0,0%","1,08"
296,CTPC4,"""CTPC4"",",CTM CITRUS SA,"0,0%","0,03"
297,CTSA3,"""CTSA3"",",SANTANENSE,"0,0%","0,66"
298,CTSA4,"""CTSA4"",",SANTANENSE,"0,0%","0,44"
299,CTSA8,"""CTSA8"",",SANTANENSE,"0,0%","0,35"
300,CTWR3,"""CTWR3"",",BLUE TREE HOTELS,"0,0%","56,7"
301,CURY3,"""CURY3"",",CURY S/A,"6,8%","3,98"
302,CVCB3,"""CVCB3"",",CVC BRASIL,"0,0%","5,81"
303,CXSE3,"""CXSE3"",",CAIXA SEGURI,"2,8%","2,45"
304,CYRE3,"""CYRE3"",",CYRELA BRAZIL REALTY,"6,5%","1,08"
305,CYRE4,"""CYRE4"",",CYRELA BRAZIL REALTY,"0,0%","0,55"
306,CZLT33,"""CZLT33"",",Cosan Ltd,"0,0%","1,39"
307,CZRS3,"""CZRS3"",",Cruzeiro Sul,"0,0%","0,00"
308,CZRS4,"""CZRS4"",",Cruzeiro Sul,"0,0%","0,30"
309,DAGB33,"""DAGB33"",",DUFRY AG,"0,0%","1,60"
310,DASA3,"""DASA3"",",DIAGNOSTICOS DA AMERICA SA,"1,0%","2,16"
311,DAYC3,"""DAYC3"",",Daycoval,"0,0%","0,00"
312,DAYC4,"""DAYC4"",",Daycoval,"0,0%","0,71"
313,DESK3,"""DESK3"",",DESKTOPSIGMA,"0,0%","1,84"
314,DEXP3,"""DEXP3"",",DEXXOS PAR,"2,9%","1,98"
315,DEXP4,"""DEXP4"",",DEXXOS PAR,"0,0%","1,66"
316,DFVA3,"""DFVA3"",",D F VASCONCELLOS S/A O.M.A.P.,"0,0%","60,6"
317,DFVA4,"""DFVA4"",",D F VASCONCELLOS S/A O.M.A.P.,"0,0%","49,0"
318,DHBI3,"""DHBI3"",",DHB,"0,0%","-0,1"
319,DHBI4,"""DHBI4"",",DHB,"0,0%","-0,0"
320,DIRR3,"""DIRR3"",",Direcional Engenharia,"5,2%","1,69"
321,DJON4,"""DJON4"",",DIJON S/A,"0,0%","0,22"
322,DMMO3,"""DMMO3"",",DOMMO,"0,0%","-0,7"
323,DMVF3,"""DMVF3"",",D1000VFARMA,"0,0%","0,27"
324,DOCA3,"""DOCA3"",",DOCAS S.A.,"0,0%","-0,0"
325,DOCA4,"""DOCA4"",",DOCAS S.A.,"0,0%","-0,0"
326,DOHL3,"""DOHL3"",",DOHLER,"1,0%","2,05"
327,DOHL4,"""DOHL4"",",DOHLER,"3,4%","0,65"
328,DOTZ3,"""DOTZ3"",",DOTZ SA,"0,0%","-7,7"
329,DPPI3,"""DPPI3"",",IPIRANGA DISTRIBUIDORA,"0,0%","4,99"
330,DPPI4,"""DPPI4"",",IPIRANGA DISTRIBUIDORA,"0,0%","2,28"
331,DSUL3,"""DSUL3"",",DATASUL,"0,0%","0,97"
332,DTCY3,"""DTCY3"",",DTCOM,"0,0%","54,0"
333,DUFB11,"""DUFB11"",",DUFRY SOUTH AMERICA LTD.,"0,0%","0,00"
334,DUQE3,"""DUQE3"",",METALURGICA DUQUE SA,"0,0%","-11,"
335,DUQE4,"""DUQE4"",",METALURGICA DUQUE SA,"0,0%","-1,1"
336,DURA3,"""DURA3"",",DURATEX,"0,0%","2,26"
337,DURA4,"""DURA4"",",DURATEX,"0,0%","2,22"
338,DXCO3,"""DXCO3"",",DEXCO,"10,9","1,80"
339,DXTG4,"""DXTG4"",",DIXIE TOGA,"0,0%","1,32"
340,EALT3,"""EALT3"",",ELECTRO AÇO ALTONA S/A,"10,6","1,25"
341,EALT4,"""EALT4"",",ELECTRO AÇO ALTONA S/A,"16,7","0,87"
342,EBCO3,"""EBCO3"",",EMBRACO,"0,0%","0,84"
343,EBCO4,"""EBCO4"",",EMBRACO,"0,0%","0,80"
344,EBEN4,"""EBEN4"",",BANDEIRANTE,"0,0%","0,57"
345,EBTP3,"""EBTP3"",",EMBRATEL PARTICIPAÇÕES SA,"0,0%","1,17"
346,EBTP4,"""EBTP4"",",EMBRATEL PARTICIPAÇÕES SA,"0,0%","1,14"
347,ECIS3,"""ECIS3"",",ECISA,"0,0%","0,00"
348,ECIS4,"""ECIS4"",",ECISA,"0,0%","0,00"
349,ECOR3,"""ECOR3"",",ECORODOVIAS,"0,0%","2,51"
350,ECPR3,"""ECPR3"",",ENCORPAR,"0,0%","1,06"
351,ECPR4,"""ECPR4"",",ENCORPAR,"0,0%","1,14"
352,EEEL3,"""EEEL3"",",CEEE,"7,6%","2,03"
353,EEEL4,"""EEEL4"",",CEEE,"8,4%","2,02"
354,EGIE3,"""EGIE3"",",ENGIE BRASIL,"4,4%","4,18"
355,EKTR3,"""EKTR3"",",ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,"8,6%","2,26"
356,EKTR4,"""EKTR4"",",ELEKTRO ELETRICIDADE E SERVIÇOS S.A.,"12,8","1,67"
357,ELCA3,"""ELCA3"",",REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.,"0,0%","14,0"
358,ELCA4,"""ELCA4"",",REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.,"0,0%","11,5"
359,ELEK3,"""ELEK3"",",ELEKEIROZ S/A,"0,3%","2,66"
360,ELEK4,"""ELEK4"",",ELEKEIROZ S/A,"0,2%","3,62"
361,ELET3,"""ELET3"",",ELETROBRÁS,"7,1%","0,70"
362,ELET5,"""ELET5"",",ELETROBRÁS,"0,0%","1,33"
363,ELET6,"""ELET6"",",ELETROBRÁS,"8,0%","0,68"
364,ELEV3,"""ELEV3"",",ELEVA,"0,0%","3,22"
365,ELMD3,"""ELMD3"",",ELETROMIDIA,"0,0%","2,69"
366,ELPL3,"""ELPL3"",",AES ELETROPAULO,"0,0%","2,85"
367,ELPL4,"""ELPL4"",",AES ELETROPAULO,"0,0%","0,92"
368,ELPL5,"""ELPL5"",",AES ELETROPAULO,"0,0%","1,76"
369,ELPL6,"""ELPL6"",",AES ELETROPAULO,"0,0%","1,74"
370,ELUM3,"""ELUM3"",",ELUMA,"0,0%","1,50"
371,ELUM4,"""ELUM4"",",ELUMA,"0,0%","1,99"
372,EMAE4,"""EMAE4"",",EMAE,"3,8%","2,21"
373,EMBR3,"""EMBR3"",",EMBRAER,"0,0%","1,01"
