Código,Cod,Nome Comercial,Div. Yeld,P/VP
BIDI4,"""BIDI4"",",BANCO INTER,,
BIOM3,"""BIOM3"",",BIOMM SA,,
BIOM4,"""BIOM4"",",BIOMM SA,,
BISA3,"""BISA3"",",BROOKFIELD INCORPORACOES,,
BKBR3,"""BKBR3"",",BK BRASIL,,
BLAU3,"""BLAU3"",",BLAU,,
BLUT3,"""BLUT3"",",B TECH EQI,,
BLUT4,"""BLUT4"",",B TECH EQI,,
BMEB3,"""BMEB3"",",BANCO MERCANTIL DO BRASIL S/A,,
BMEB4,"""BMEB4"",",BANCO MERCANTIL DO BRASIL S/A,,
BMEF3,"""BMEF3"",",BMF,,
BMGB11,"""BMGB11"",",BANCO BMG,,
BMGB4,"""BMGB4"",",BANCO BMG,,
BMIN3,"""BMIN3"",",BANCO MERCANTIL DE INVESTIMENTOS SA,,
BMIN4,"""BMIN4"",",BANCO MERCANTIL DE INVESTIMENTOS SA,,
BMKS3,"""BMKS3"",",MONARK,,
BMOB3,"""BMOB3"",",BEMOBI TECH,,
BMTO3,"""BMTO3"",",BRASMOTOR S.A,,
BMTO4,"""BMTO4"",",BRASMOTOR S.A,,
BNBR3,"""BNBR3"",",BANCO DO NORDESTE,,
BNBR4,"""BNBR4"",",BANCO DO NORDESTE,,
BNCA3,"""BNCA3"",",NOSSA CAIXA-NOSSO BANCO,,
BOAS3,"""BOAS3"",",BOA VISTA,,
BOBR3,"""BOBR3"",",BOMBRIL SA,,
BOBR4,"""BOBR4"",",BOMBRIL SA,,
BOVH3,"""BOVH3"",",Bovespa Hld,,
BPAC11,"""BPAC11"",",BTGP BANCO,,
BPAC3,"""BPAC3"",",BTGP BANCO,,
BPAC5,"""BPAC5"",",BTGP BANCO,,
BPAN4,"""BPAN4"",",BANCO PAN,,
BPAR3,"""BPAR3"",",BANPARÁ S.A.,,
BPAT33,"""BPAT33"",",Patagonia,,
BPHA3,"""BPHA3"",",BRAZIL PHARMA S.A.,,
BPIA3,"""BPIA3"",",BEP,,
BPNM3,"""BPNM3"",",BANCO PAN,,
BRAP3,"""BRAP3"",",BRADESPAR S/A,,
BRAP4,"""BRAP4"",",BRADESPAR S/A,,
BRBI11,"""BRBI11"",",BR PARTNERS,,
BRFS3,"""BRFS3"",",BRF Foods,,
BRGE11,"""BRGE11"",",CONSORCIO ALFA,,
BRGE12,"""BRGE12"",",CONSORCIO ALFA,,
